BOX_ID,NUMBER_OF_ICE_PACKS
GB96898962,4
GB96900652,4
GB96892464,3
GB96601276,3
GB96903108,3
GB96905615,4
GB96890526,3
GB96889710,4
GB96726623,3
GB96902009,3
GB96892621,3
GB96906969,3
GB96889621,3
GB96570736,4
GB96906044,4
GB96840695,3
GB96904298,3
GB96844508,2
GB96865415,2
GB96852997,2
GB96863150,2
GB96848907,2
GB96855903,2
GB96863323,2
GB96853113,2
GB96867315,2
GB96860780,2
GB96854273,2
GB96859243,2
GB96850411,2
GB96866992,2
GB96845376,2
GB96867616,2
GB96905665,3
GB96895418B1,4
GB96895557,3
GB96893870,3
GB96895915,3
GB96892549,3
GB96891588,3
GB96258176,3
GB96896733,3
GB96642037,3
GB96892605,4
GB96891685,3
GB96890576,3
GB96893367,4
GB96895787,3
GB96896265,3
GB96907012,4
GB96896200,3
GB96889592,3
GB96857541,2
GB96848489,2
GB96853243,2
GB96850365,2
GB96845329,3
GB96850067,2
GB96862333,2
GB96850247,2
GB96842561,2
GB96864281,2
GB96853194,2
GB96843201,2
GB96900443,4
GB96895418B2,4
GB96841575B2,3
GB96903613,3
GB96868026,2
GB96867797,2
GB96867431,2
GB96869096,1
GB96848540,2
GB96862906,2
GB96857343,2
GB96853314,2
GB96895739,3
GB96570162,3
GB96902854,3
GB96897280,3
GB96897970B1,3
GB96900667B2,4
GB96892964,3
GB96902430,4
GB96905814,4
GB96841310B1,3
GB96904700,3
GB96893994,3
GB96895510,3
GB96901504,3
GB96181054,3
GB96896508,3
GB96600313B2,4
GB96889832B2,3
GB96904548,3
GB96839699,2
GB96842545,2
GB96855703,2
GB96850048,2
GB96866906,2
GB96862928,2
GB96844000,2
GB96847527,2
GB96863424,2
GB96861304,2
GB96894737,5
GB96906012,3
GB96905880,3
GB96858301,2
GB96858249,2
GB96850005,2
GB96899248,3
GB96896856,3
GB96903232,4
GB96900997,3
GB96902359,3
GB96892055,3
GB96897649,4
GB96901524,4
GB96896506,4
GB96894830,3
GB96904184,3
GB96903337,4
GB96864282,2
GB96849711,2
GB96849248,2
GB96856983,2
GB96841742,2
GB96843613,2
GB96862068,2
GB96846384,2
GB96858695,2
GB96839861,2
GB96858088,2
GB96856161,2
GB96848640B1,2
GB96856634,2
GB96866528,3
GB96905399,3
GB96864880,2
GB96844127,2
GB96849645,2
GB96858654,2
GB96902906B2,3
GB96891623,4
GB96900780,3
GB96907703,3
GB96908017,3
GB96899235,3
GB96892942,3
GB96898008,3
GB96904800,3
GB96908943,4
GB96891188,3
GB96726522,3
GB96892708,3
GB96894494,3
GB96601260,3
GB96866294,2
GB96852454,2
GB96842671,2
GB96864298,2
GB96853202,2
GB96844251,2
GB96866945,2
GB96857882B1,2
GB96852960,2
GB96853254,2
GB96868943,2
GB96857442,2
GB96867044,2
GB96854153,2
GB96865056,2
GB96863950,2
GB96848562,2
GB96892321,3
GB96899226B2,4
GB96894519,3
GB96891886,3
GB96902961,3
GB96908346,4
GB96842944,2
GB96848092,2
GB96893603,4
GB96851750,2
GB96856638,2
GB96848752,2
GB96867717,2
GB96842067,2
GB96894188,4
GB96907194,3
GB96906518,3
GB96900494,3
GB96907704,3
GB96902600,3
GB96900543,3
GB96904499,3
GB96890525,3
GB96894958,3
GB96892952,3
GB96905714,4
GB96891154,3
GB96508625,4
GB96848041,2
GB96851230,2
GB96845628,2
GB96860368,2
GB96854100,2
GB96866424,2
GB96843499B2,2
GB96866133,2
GB96862009,2
GB96860790,2
GB96841388,2
GB96847728,2
GB96843450,2
GB96850462,2
GB96852463,2
GB96900308,4
GB96868077,2
GB96859428,2
GB96850567,2
GB96850263,2
GB96858170,2
GB96852780,2
GB96848542,2
GB96867108,2
GB96893656,3
GB96904335,3
GB96902337B2,3
GB96901317,3
GB96903650,4
GB96898475,4
GB96908069,3
GB96899412,4
GB96903055,3
GB96894863,4
GB96898398B2,3
GB96901498,3
GB96861498,2
GB96850630,2
GB96863189,2
GB96848905,2
GB96851509,2
GB96862411,2
GB96864351,2
GB96869076,2
GB96865287,2
GB96844937B2,2
GB96853125,2
GB96849966,2
GB96905659,3
GB96840706,4
GB96727711,4
GB96895463,3
GB96859955,2
GB96859983,2
GB96907058,4
GB96864041,2
GB96901908,3
GB96898430,3
GB96892610,3
GB96904357,3
GB96892311,4
GB96599282,4
GB96893107B2,3
GB96896966,4
GB96906508,3
GB96892919,4
GB96893261,4
GB96898592,3
GB96899344,3
GB96900834,3
GB96904863,3
GB96902172,3
GB96899163,3
GB96891807,4
GB96865871,2
GB96848708,2
GB96848456,2
GB96858526,2
GB96863167,2
GB96851744,2
GB96854045,2
GB96867406,2
GB96855010,2
GB96860191,2
GB96864360,2
GB96852835,2
GB96866772,2
GB96863792B2,2
GB96891806,3
GB96898396,3
GB96894574,4
GB96866748,2
GB96859810,2
GB96863880,2
GB96841855,2
GB96865472,2
GB96868907,2
